municipio_codigo;municipio_nombre;sexo;provincia_nacimiento;numero_defunciones
003; Alameda del Valle;Mujer;Tarragona;0
003; Alameda del Valle;Mujer;Teruel;0
003; Alameda del Valle;Mujer;Toledo;0
003; Alameda del Valle;Mujer;Valencia/València;0
003; Alameda del Valle;Mujer;Valladolid;0
003; Alameda del Valle;Mujer;Zamora;0
003; Alameda del Valle;Mujer;Zaragoza;0
004; Alamo (El);Hombre;Albacete;0
004; Alamo (El);Hombre;Alicante/Alacant;0
004; Alamo (El);Hombre;Almería;0
004; Alamo (El);Hombre;Araba/Álava;0
004; Alamo (El);Hombre;Asturias;2
004; Alamo (El);Hombre;Ávila;1
004; Alamo (El);Hombre;Badajoz;1
004; Alamo (El);Hombre;Baleares (Illes);0
004; Alamo (El);Hombre;Barcelona;0
004; Alamo (El);Hombre;Bizkaia;0
004; Alamo (El);Hombre;Burgos;0
004; Alamo (El);Hombre;Cáceres;0
004; Alamo (El);Hombre;Cádiz;0
004; Alamo (El);Hombre;Cantabria;0
004; Alamo (El);Hombre;Castellón/Castelló;0
004; Alamo (El);Hombre;Ceuta;0
004; Alamo (El);Hombre;Ciudad Real;0
004; Alamo (El);Hombre;Córdoba;0
004; Alamo (El);Hombre;Coruña (A);0
004; Alamo (El);Hombre;Cuenca;1
004; Alamo (El);Hombre;Gipuzkoa;0
004; Alamo (El);Hombre;Girona;0
004; Alamo (El);Hombre;Granada;0
004; Alamo (El);Hombre;Guadalagara;0
004; Alamo (El);Hombre;Huelva;0
004; Alamo (El);Hombre;Huesca;0
004; Alamo (El);Hombre;Jaen;1
004; Alamo (El);Hombre;León;1
004; Alamo (El);Hombre;Lleida;0
004; Alamo (El);Hombre;Lugo;0
004; Alamo (El);Hombre;Madrid;12
004; Alamo (El);Hombre;Málaga;1
004; Alamo (El);Hombre;Melilla;0
004; Alamo (El);Hombre;Murcia;0
004; Alamo (El);Hombre;Navarra;0
004; Alamo (El);Hombre;No consta;0
004; Alamo (El);Hombre;Ourense;1
004; Alamo (El);Hombre;Palencia;0
004; Alamo (El);Hombre;Palmas (Las);0
004; Alamo (El);Hombre;Pontevedra;0
004; Alamo (El);Hombre;Rioja (La);1
004; Alamo (El);Hombre;Salamanca;3
004; Alamo (El);Hombre;Santa cruz de Tenerife;0
004; Alamo (El);Hombre;Segovia;0
004; Alamo (El);Hombre;Sevilla;0
004; Alamo (El);Hombre;Soria;1
004; Alamo (El);Hombre;Tarragona;0
004; Alamo (El);Hombre;Teruel;0
004; Alamo (El);Hombre;Toledo;4
004; Alamo (El);Hombre;Valencia/València;0
004; Alamo (El);Hombre;Valladolid;0
004; Alamo (El);Hombre;Zamora;1
004; Alamo (El);Hombre;Zaragoza;0
004; Alamo (El);Mujer;Albacete;2
004; Alamo (El);Mujer;Alicante/Alacant;0
004; Alamo (El);Mujer;Almería;0
004; Alamo (El);Mujer;Araba/Álava;0
004; Alamo (El);Mujer;Asturias;0
004; Alamo (El);Mujer;Ávila;0
004; Alamo (El);Mujer;Badajoz;4
004; Alamo (El);Mujer;Baleares (Illes);0
004; Alamo (El);Mujer;Barcelona;0
004; Alamo (El);Mujer;Bizkaia;1
004; Alamo (El);Mujer;Burgos;0
004; Alamo (El);Mujer;Cáceres;1
004; Alamo (El);Mujer;Cádiz;0
004; Alamo (El);Mujer;Cantabria;0
004; Alamo (El);Mujer;Castellón/Castelló;0
004; Alamo (El);Mujer;Ceuta;0
004; Alamo (El);Mujer;Ciudad Real;4
